id|candidateId|constituencyId|timestamp
1|2|1|2027-05-14T08:15:32
2|1|1|2027-05-14T08:22:11
3|2|1|2027-05-14T08:45:03
4|1|1|2027-05-14T09:01:55
5|3|1|2027-05-14T09:10:20
6|1|1|2027-05-14T09:32:44
7|2|1|2027-05-14T09:55:18
8|1|1|2027-05-14T10:05:30
9|5|2|2027-05-14T08:20:15
10|4|2|2027-05-14T08:35:42
11|4|2|2027-05-14T08:50:11
12|6|2|2027-05-14T09:12:33
13|4|2|2027-05-14T09:25:05
14|5|2|2027-05-14T09:40:22
15|7|3|2027-05-14T08:10:45
16|8|3|2027-05-14T08:30:18
17|7|3|2027-05-14T08:55:30
18|9|3|2027-05-14T09:20:12
19|7|3|2027-05-14T09:45:55
20|11|4|2027-05-14T08:12:33
21|10|4|2027-05-14T08:40:20
22|11|4|2027-05-14T09:05:15
23|12|4|2027-05-14T09:30:44
24|11|4|2027-05-14T09:50:22
25|15|5|2027-05-14T08:18:10
26|13|5|2027-05-14T08:42:35
27|14|5|2027-05-14T09:08:20
28|13|5|2027-05-14T09:35:50
29|15|5|2027-05-14T09:55:15
